outlet,Kurz_paragraphs,Mitterlehner_paragraphs,Strache_paragraphs,SPÖ-Leader_paragraphs,n.x,Kurz,Mitterlehner,Strache,SPÖ-Leader,n.y
Der Standard," 13,124"," 4,808"," 12,230","  8,537"," 36,352"," 13,124"," 4,808"," 12,230","  8,537"," 19,826"
derstandard.at," 11,450"," 3,326","  8,999","  6,500"," 27,956"," 11,450"," 3,326","  8,999","  6,500"," 16,461"
Die Presse," 12,154"," 5,300","  9,405"," 10,174"," 34,829"," 12,154"," 5,300","  9,405"," 10,174"," 18,115"
diepresse.com," 21,821"," 9,286"," 18,296"," 17,252"," 62,409"," 21,821"," 9,286"," 18,296"," 17,252"," 25,875"
Heute,"  1,395",   450,"  2,379",    402,"  4,259","  1,395",   450,"  2,379",    402,"  3,422"
Kleine Zeitung,"  5,295"," 1,262","  4,153","  3,916"," 14,600","  5,295"," 1,262","  4,153","  3,916"," 10,243"
kleinezeitung.at,"  9,811"," 1,586","  5,247","  4,547"," 20,018","  9,811"," 1,586","  5,247","  4,547"," 10,828"
Krone," 12,224"," 3,740"," 10,128","  2,824"," 26,607"," 12,224"," 3,740"," 10,128","  2,824"," 16,861"
krone.at," 11,686"," 2,150","  9,741","  6,664"," 28,547"," 11,686"," 2,150","  9,741","  6,664"," 12,409"
Kurier," 12,354"," 5,338"," 12,356","  9,392"," 37,179"," 12,354"," 5,338"," 12,356","  9,392"," 22,300"
kurier.at," 11,963"," 4,834"," 11,054"," 10,139"," 35,372"," 11,963"," 4,834"," 11,054"," 10,139"," 18,082"
Niederösterreichische Nachrichten,"  3,336"," 1,812","  1,427","  1,812","  8,383","  3,336"," 1,812","  1,427","  1,812","  6,329"
Oberösterreichisches Volksblatt,"  4,408"," 2,961","  1,558","  1,708"," 10,630","  4,408"," 2,961","  1,558","  1,708","  7,891"
oe24.at," 15,094"," 3,443"," 21,081"," 11,986"," 48,572"," 15,094"," 3,443"," 21,081"," 11,986"," 18,663"
OÖ Nachrichten,"  4,657"," 3,364","  3,607","  3,620"," 15,238","  4,657"," 3,364","  3,607","  3,620","  9,931"
Salzburger Nachrichten,"  3,955"," 1,101","  3,003","  2,697"," 10,744","  3,955"," 1,101","  3,003","  2,697","  7,438"
sn.at,"  8,257"," 2,135","  4,666","  4,093"," 17,743","  8,257"," 2,135","  4,666","  4,093"," 10,300"
Tiroler Tageszeitung,"  5,404"," 1,464","  3,062","  3,267"," 13,183","  5,404"," 1,464","  3,062","  3,267","  8,557"
Vorarlberger Nachrichten,"  2,855",   858,"  1,753","  2,075","  7,528","  2,855",   858,"  1,753","  2,075","  5,499"
Wiener Zeitung,"  4,025"," 1,401","  2,827","  2,631"," 10,876","  4,025"," 1,401","  2,827","  2,631","  6,993"
Total,"175,268","60,619","146,972","114,236","471,025","175,268","60,619","146,972","114,236","256,023"
