outlet,ÖVP_paragraphs,SPÖ_paragraphs,FPÖ_paragraphs,Grüne_paragraphs,n.x,ÖVP,SPÖ,FPÖ,Grüne,n.y
Der Standard,"14,428","14,543"," 9,224"," 6,119","125,039"," 7,701"," 7,947"," 4,695"," 3,416"," 13,938"
Die Presse,"12,724","14,367"," 6,617"," 4,842","117,573"," 6,379"," 7,517"," 3,324"," 2,512"," 12,044"
Heute," 1,756"," 1,808"," 1,429",   528,"  8,056"," 1,471"," 1,504"," 1,201",   445,"  3,654"
Krone,"14,380","17,981"," 9,751"," 5,026","146,627"," 9,878","12,514"," 6,689"," 3,660"," 22,878"
Kurier,"17,795","20,291","10,438"," 6,259","169,457","10,305","12,102"," 5,912"," 3,871"," 20,131"
www.derstandard.at," 8,783"," 8,929"," 5,281"," 4,284"," 49,846"," 5,970"," 6,180"," 3,344"," 3,053"," 11,860"
www.krone.at," 2,444"," 1,631"," 1,224",   563,"  8,701"," 2,217"," 1,305",   956,   508,"  4,232"
www.kurier.at,"12,117","12,115"," 7,496"," 4,491"," 91,635"," 6,705"," 6,812"," 3,921"," 2,670"," 11,850"
www.oe24.at," 7,627"," 6,846"," 7,104"," 2,948"," 48,685"," 3,549"," 2,890"," 2,662"," 1,555","  6,327"
Total,"92,054","98,511","58,564","35,060","765,619","54,175","58,771","32,704","21,690","106,914"
